eats eaten eat
twists3 twisted3 twist3
locates3 located3 locate3
welcomes3 welcomed3 welcome3
publicizes3 publicized3 publicize3
demolishes3 demolished3 demolish3
vandalizes3 vandalized3 vandalize3
idolizes3 idolized3 idolize3
appraises3 appraised3 appraise3
salts3 salted3 salt3
waters3 watered3 water3
aerates3 aerated3 aerate3
shoots3 shot3 shoot3
